planned_production_tons,active_shovels,shovel_availability_pct,haul_trucks,rainfall_mm,soil_moisture_pct,temperature_c,blasting_delayed,actual_production_tons,shortfall_tons
1200.0,7,69.0,14,1.3,18.0,28.1,0,1057.1,142.9
1600.0,6,68.1,14,1.6,23.7,27.0,0,848.5,751.5
1400.0,7,90.2,15,0.1,28.8,33.0,1,1082.4,317.6
1200.0,5,79.7,9,0.5,33.8,20.6,0,869.9,330.1
1000.0,3,96.7,6,55.7,95.0,21.9,1,150.0,850.0
1000.0,5,90.9,10,4.2,21.1,30.0,0,998.1,1.9
1000.0,5,71.7,10,23.6,63.8,42.6,0,763.1,236.9
1400.0,4,86.5,10,1.2,28.1,37.3,0,684.2,715.8
1400.0,4,80.2,9,24.5,56.3,22.1,0,735.7,664.3
1400.0,4,85.2,8,3.5,24.1,40.3,1,453.0,947.0
1000.0,4,90.8,8,0.8,19.6,37.6,0,695.0,305.0
1600.0,7,93.2,18,0.3,20.7,34.7,1,1049.6,550.4
1400.0,6,94.5,11,0.7,24.7,39.7,0,1157.8,242.2
1200.0,3,73.9,10,6.3,28.7,29.7,0,441.6,758.4
1000.0,5,66.1,14,2.2,23.1,25.3,0,678.4,321.6
1000.0,7,90.9,13,7.8,37.0,32.3,0,1050.0,0.0
1200.0,3,68.7,7,2.3,18.0,33.2,1,166.7,1033.3
1200.0,7,76.0,18,1.1,21.8,32.9,0,1114.1,85.9
1200.0,7,65.1,15,8.0,25.6,33.6,0,978.0,222.0
1200.0,5,88.9,14,1.9,25.3,42.8,0,906.9,293.1
1400.0,6,70.8,15,0.3,18.0,41.7,0,934.0,466.0
1000.0,4,87.9,7,0.3,27.0,41.0,0,695.8,304.2
1200.0,6,99.7,16,1.9,18.3,39.2,0,1260.0,0.0
1200.0,5,67.5,13,6.9,23.5,42.6,0,766.7,433.3
1200.0,5,67.7,12,0.9,21.6,22.4,1,430.2,769.8
1400.0,5,76.9,13,5.1,38.2,26.4,1,550.0,850.0
1000.0,3,95.3,6,3.6,31.0,31.9,1,274.9,725.1
1200.0,6,72.5,16,0.7,18.0,40.3,0,896.1,303.9
1200.0,6,77.6,15,0.1,18.0,32.1,0,1032.8,167.2
